speech_id,person_id,surname
2923767,18413,corker
2923768,18413,corker
2923769,18413,corker
2923770,18413,corker
2923771,182,cardin
2923772,18413,corker
2923773,136,markey
2923774,136,markey
2923775,136,markey
2923776,18413,corker
2923777,18413,corker
2923778,18413,corker
2923779,18413,corker
2923780,18413,corker
2923781,18413,corker
2923782,18413,corker
2923783,18413,corker
2923784,18413,corker
2923785,18413,corker
2923786,18413,corker
2923787,18413,corker
2923788,18413,corker
2923789,18413,corker
2923790,18413,corker
2923791,18413,corker
2923792,18413,corker
2923793,182,cardin
2923794,182,cardin
2923795,182,cardin
2923796,182,cardin
2923797,182,cardin
2923798,182,cardin
2923799,18413,corker
2923800,18413,corker
2923801,18413,corker
2923802,2437,menendez
2923803,18413,corker
2923804,18413,corker
2923805,18413,corker
2923806,18413,corker
2923807,18413,corker
2923808,18413,corker
2923809,18413,corker
2923810,18413,corker
2923811,18413,corker
2923812,18413,corker
2923813,2437,menendez
2923814,2437,menendez
2923815,2437,menendez
2923816,2437,menendez
2923817,2437,menendez
2923818,2437,menendez
2923819,2437,menendez
2923820,2437,menendez
2923821,2437,menendez
2923822,2437,menendez
2923823,2437,menendez
2923824,18413,corker
2923825,24982,johnson
2923826,24982,johnson
2923827,24982,johnson
2923828,24982,johnson
2923829,24982,johnson
2923830,24982,johnson
2923831,24982,johnson
2923832,24982,johnson
2923833,24982,johnson
2923834,18413,corker
2923835,182,cardin
2923836,182,cardin
2923837,182,cardin
2923838,182,cardin
2923839,182,cardin
2923840,182,cardin
2923841,182,cardin
2923842,182,cardin
2923843,182,cardin
2923844,182,cardin
2923845,18413,corker
2923846,25615,paul
2923847,25615,paul
2923848,25615,paul
2923849,25615,paul
2923850,25615,paul
2923851,25615,paul
2923852,25615,paul
2923853,25615,paul
2923854,25615,paul
2923855,18413,corker
2923856,136,markey
2923857,136,markey
2923858,136,markey
2923859,18413,corker
2923860,5396,isakson
2923861,5396,isakson
2923862,5396,isakson
2923863,5396,isakson
2923864,5396,isakson
2923865,5396,isakson
2923866,5396,isakson
2923867,5396,isakson
2923868,5396,isakson
2923869,5396,isakson
2923870,18413,corker
2923871,1836,boxer
2923872,1836,boxer
2923873,1836,boxer
2923874,18413,corker
2923875,27291,rubio
2923876,27291,rubio
2923877,27291,rubio
2923878,27291,rubio
2923879,27291,rubio
2923880,18413,corker
2923881,31144,kaine
2923882,31144,kaine
2923883,31144,kaine
2923884,31144,kaine
2923885,11538,gardner
2923886,11538,gardner
2923887,11538,gardner
2923888,11538,gardner
2923889,11538,gardner
2923890,11538,gardner
2923891,5134,flake
2923892,14903,murphy
2923893,14903,murphy
2923894,14903,murphy
2923895,14903,murphy
2923896,14903,murphy
2923897,14903,murphy
2923898,14903,murphy
2923899,5134,flake
2923900,5134,flake
2923901,5134,flake
2923902,5134,flake
2923903,5134,flake
2923904,5134,flake
2923905,18413,corker
2923906,31144,kaine
2923907,31144,kaine
2923908,31144,kaine
2923909,18413,corker
2923910,31144,kaine
2923911,18413,corker
2923912,18413,corker
2923913,18413,corker
2923914,18413,corker
2923915,18413,corker
2923916,18413,corker
2923917,18413,corker
2923918,18413,corker
2923919,18413,corker
2923920,2437,menendez
2923921,18413,corker
2923922,18413,corker
2923923,18413,corker
2923924,18413,corker
2923925,18413,corker
2923926,18413,corker
2923927,18413,corker
2923928,2437,menendez
2923929,2437,menendez
2923930,2437,menendez
2923931,2437,menendez
2923932,2437,menendez
2923933,18413,corker
2923934,24028,risch
2923935,24028,risch
2923936,24028,risch
2923937,24028,risch
2923938,24028,risch
2923939,18413,corker
2923940,182,cardin
2923941,182,cardin
2923942,182,cardin
2923943,182,cardin
2923944,182,cardin
2923945,18413,corker
2923946,5396,isakson
2923947,5396,isakson
2923948,5396,isakson
2923949,5396,isakson
2923950,5396,isakson
2923951,5396,isakson
2923952,5396,isakson
2923953,5396,isakson
2923954,5396,isakson
2923955,5396,isakson
2923956,18413,corker
2923957,11538,gardner
2923958,11538,gardner
2923959,11538,gardner
2923960,11538,gardner
2923961,11538,gardner
2923962,11538,gardner
2923963,11538,gardner
2923964,11538,gardner
2923965,18413,corker
2923966,27291,rubio
2923967,27291,rubio
2923968,27291,rubio
2923969,27291,rubio
2923970,27291,rubio
2923971,27291,rubio
2923972,27291,rubio
2923973,18413,corker
2923974,18413,corker
2923975,2437,menendez
2923976,18413,corker
2923977,18413,corker
2923978,18413,corker
2923979,18413,corker
2923980,18413,corker
2923981,18413,corker
2923982,18413,corker
2923983,2437,menendez
2923984,2437,menendez
2923985,2437,menendez
2923986,2437,menendez
2923987,2437,menendez
2923988,18413,corker
2923989,18413,corker
2923990,30615,kaine
2923991,30615,kaine
2923992,30615,kaine
2923993,30615,kaine
2923994,30615,kaine
2923995,18413,corker
2923996,18413,corker
2923997,18413,corker
2923998,2437,menendez
2923999,18413,corker
2924000,18413,corker
2924001,18413,corker
2924002,18413,corker
2924003,18413,corker
2924004,18413,corker
2924005,18413,corker
2924006,18413,corker
2924007,2437,menendez
2924008,2437,menendez
2924009,2437,menendez
2924010,2437,menendez
2924011,2437,menendez
2924012,2437,menendez
2924013,2437,menendez
2924014,2437,menendez
2924015,2437,menendez
2924016,2437,menendez
2924017,18413,corker
2924018,11538,gardner
2924019,11538,gardner
2924020,11538,gardner
2924021,11538,gardner
2924022,11538,gardner
2924023,11538,gardner
2924024,11538,gardner
2924025,18413,corker
2924026,4622,shaheen
2924027,4622,shaheen
2924028,4622,shaheen
2924029,4622,shaheen
2924030,4622,shaheen
2924031,4622,shaheen
2924032,4622,shaheen
2924033,18413,corker
2924034,182,cardin
2924035,182,cardin
2924036,182,cardin
2924037,182,cardin
2924038,182,cardin
2924039,182,cardin
2924040,182,cardin
2924041,18413,corker
2924042,2437,menendez
2924043,2437,menendez
2924044,18413,corker
2924045,18413,corker
2924046,18413,corker
2924047,2437,menendez
2924048,18413,corker
2924049,1836,boxer
2924050,18413,corker
2924051,1836,boxer
2924052,18413,corker
2924053,18413,corker
2924054,18413,corker
2924055,18413,corker
2924056,18413,corker
2924057,18413,corker
2924058,18413,corker
2924059,18413,corker
2924060,18413,corker
2924061,2437,menendez
2924062,2437,menendez
2924063,2437,menendez
2924064,2437,menendez
2924065,18413,corker
2924066,11538,gardner
2924067,11538,gardner
2924068,11538,gardner
2924069,11538,gardner
2924070,11538,gardner
2924071,11538,gardner
2924072,11538,gardner
2924073,11538,gardner
2924074,11538,gardner
2924075,18413,corker
2924076,136,markey
2924077,136,markey
2924078,136,markey
2924079,136,markey
2924080,136,markey
2924081,136,markey
2924082,136,markey
