ID,People
188,"Gallagher, Lauren"
189,"Mavodones, Nicholas M., Jr."
190,"Michaud, Michael H."
191,"Milliken, William"
192,"Mills, Karen G."
193,"Pingree, Chellie"
194,"Snowe, Olympia J."
195,"Brown, Gordon"
196,"Brown, James ""Fraser"""
197,"Brown, John"
198,"Brown, Sarah"
199,"Medvedev, Dmitry A."
200,Queen Elizabeth II.
201,"Fine, Camden R."
202,"McMahon, Linda E."
203,"Abell, Daniel"
204,"Hayes, Jahana"
205,"Johnston, Robert A."
206,"King, John B., Jr."
207,"Murphy, Christopher"
208,"Obama, Natasha “Sasha”"
209,"Goodson, Caesar"
210,"Gray, Freddie C., Jr ."
211,"Miller, Garrett"
212,"Mosby, Marilyn J."
213,"Nero, Edward"
214,Nguyen Van Hai (Dieu Cay)
215,"Plante, Bill"
216,"Porter, William"
217,"Rezaian, Jason"
218,"Rice, Brian"
219,"Simegnish ""Lily"" Mengesha"
220,"Tlisova, Fatima"
221,"White, Alicia"
222,"McComb, Sean M."
223,"McComb, Silas"
224,"Schurtz, Tom"
225,"Brown, James N."
226,"Clyburn, Mignon L."
227,"Genachowski, Julius M."
228,"Goslins, Rachel"
229,"Herron, Evelyn"
230,"Jackson, Vincent Edward ""Bo"""
231,"Watt, Graham"
232,"Watt, Melvin L."
233,"Wheeler, Thomas E."
234,"bin Laden, Usama"
235,"Panetta, Leon E."
236,"Zardari, Asif Ali"
237,"Cheikhrouhou, Héla"
238,"Figueres, Christiana"
239,"Pruitt, E. Scott"
240,"Alwine, Abigail K."
241,"Donnelly, Joseph S."
242,"Neese, Timothy"
243,"Purcell, Shannon"
244,"Rizzo, Kelly"
245,"Trump, Donald J."
246,"Maxima, Queen"
247,"Willem-Alexander, King"
248,"Coleman, Dian"
249,"McCarthy, Regina"
250,"Inzunza, Gonzalo Inzunza"
251,"Ishaqzai, Haji Lal Jan"
252,"Kolbayev, Kamchybek A."
253,"Mwau, John Harun"
254,"Nyakiniywa, Naima Mohamed"
255,"Torres Felix, Manuel"
256,"Allen, Thad W."
257,"Bush, George H.W."
258,"Graham, D. Robert"
259,"Napolitano, Janet A."
260,"Reilly, William K."
261,"Salazar, Kenneth L."
262,"Henderson, Frederick A.""Fritz"""
263,"Kresa, Kent"
264,"Montgomery, Edward B."
265,"Bunnell, Patricia"
266,"Bunnell, Ralph"
267,"Cole, Richard E."
268,"Folwell, James"
269,"Franklin, Tony"
270,"Gwon, Jean"
271,"Maybrey, Allison"
272,"Maybrey, Amelia"
273,"Maybrey, Emma"
274,"Maybrey, Lily"
275,"Maybrey, Michael"
